Framework,Count
OntoChat,3
NeOn,3
NeOn-GPT,2
OntoGPT,2
Ontogenia,2
OntoGain,2
Text2Onto,2
OLAF,2
SPIRES,1
OntoGenix,1
TANGO,1
MOGO,1
Populous,1
LOT methodology,1
OntoCmaps,1
DeepOnto,1
DYNAMO,1
OntoFact,1
