Domain/Dataset,Count
Healthcare/Biomedical,26
Wikidata,15
DBpedia,11
WordNet,10
software engineering,13
PubMed,7
UMLS,6
YAGO,5
Freebase,4
Education,4
Finance,4
industry/manufacturing,2
Legal,2
SNOMED CT,2
general,1
BESTIARY ,1
MeSH,1
e-commerce,1
CoNLL,1
ConceptNet,1
OBO Foundry,1
SQuAD,1
