term_id,term_text,term_lemma,length_tokens,freq_total,freq_docs,idf,tf_idf,created_at,updated_at
1,Effective Usage Ratio Account Hierarchy,effective usage ratio account hierarchy,5,2,1,0.0,0.0,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
2,Configuration,configuration,1,37,24,2.235471471385307,82.71244444125637,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
3,Introduction,introduction,1,1,1,4.761200115693562,4.761200115693562,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
4,usable priority ranges,usable priority range,3,1,1,4.761200115693562,4.761200115693562,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
5,irregular hierarchies,irregular hierarchy,2,1,1,4.761200115693562,4.761200115693562,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
6,reader,reader,1,1,1,4.761200115693562,4.761200115693562,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
7,Depth Oblivious Fair Share Formula,depth oblivious fair share formula,5,1,1,0.0,0.0,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
8,main formula,main formula,2,1,1,4.761200115693562,4.761200115693562,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
9,fair share factor account,fair share factor account,4,2,1,0.0,0.0,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
10,fair share factor,fair share factor,3,11,3,4.0680529351336165,44.748582286469784,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
11,effective usage ratio account,effective usage ratio account,4,2,1,0.0,0.0,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
12,formula,formula,1,6,2,4.355735007585398,26.13441004551239,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
13,original fair share formula,original fair share formula,4,1,1,0.0,0.0,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
14,result account level tree root,result account level tree root,5,1,1,0.0,0.0,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
15,shares,share,1,23,4,3.8449093838194073,88.43291582784637,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
16,usage factoring half life decay,usage factoring half life decay,5,2,2,0.0,0.0,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
17,original formula,original formula,2,1,1,4.761200115693562,4.761200115693562,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
18,local usage ratio rl,local usage ratio rl,4,1,1,0.0,0.0,2026-01-15T09:05:57Z,2026-01-15T09:05:57Z
