id,child_canonical_id,child_canonical_term,parent_canonical_id,parent_canonical_term,score,method,doc_id,sent_id,evidence_text
138,343,option set,264,set,1.0,head,,,
139,348,default behavior,731,behavior,1.0,head,,,
140,350,external slurmdbd,28,slurmdbd,1.0,head,,,
141,353,non-external cluster,85,cluster,1.0,head,,,
142,354,accounting datum,60,datum,1.0,head,,,
143,355,database type storage plugin,23,plugin,1.0,head,,,
144,356,database daemon,79,daemon,1.0,head,,,
145,359,default munge daemon,79,daemon,1.0,head,,,
146,361,alternate munge daemon,79,daemon,1.0,head,,,
147,370,workload characterization key,147,key,1.0,head,,,
148,372,unrelated account,215,account,1.0,head,,,
149,373,slurmdbd configuration,73,configuration,1.0,head,,,
150,374,own configuration file,52,file,1.0,head,,,
151,375,unauthorized access,128,access,1.0,head,,,
152,377,complete description,551,description,1.0,head,,,
153,379,second munge daemon,79,daemon,1.0,head,,,
154,383,authentication method,2169,method,1.0,head,,,
155,388,warning message,111,message,1.0,head,,,
156,389,port number,108,number,1.0,head,,,
157,391,system build time,39,time,1.0,head,,,
158,392,accountingstorageport parameter,131,parameter,1.0,head,,,
159,393,slurm.conf file,52,file,1.0,head,,,
160,395,qualified pathname,51,pathname,1.0,head,,,
161,401,configure time,39,time,1.0,head,,,
162,403,slurmdbd daemon execute,564,execute,1.0,head,,,
163,404,slurmctld execute,564,execute,1.0,head,,,
164,405,security purpose,139,purpose,1.0,head,,,
165,407,same slurmuser,122,slurmuser,1.0,head,,,
166,410,large system,223,system,1.0,head,,,
167,411,separate machine,141,machine,1.0,head,,,
168,412,default database,7,database,1.0,head,,,
169,415,job accounting datum,60,datum,1.0,head,,,
170,417,accounting storage mechanism,30,mechanism,1.0,head,,,
171,419,storageloc parameter,131,parameter,1.0,head,,,
172,421,mysql configuration,73,configuration,1.0,head,,,
173,423,mysql user grant privilege,600,privilege,1.0,head,,,
174,426,password usage,344,usage,1.0,head,,,
175,430,more info,425,info,1.0,head,,,
176,431,grant line,427,line,1.0,head,,,
177,433,mysql@snowflake mysql,45,mysql,1.0,head,,,
178,434,mysql monitor,2014,monitor,1.0,head,,,
179,444,database storage host,80,host,1.0,head,,,
180,446,grant option,155,option,1.0,head,,,
181,447,innodb support,450,support,1.0,head,,,
182,455,foreign key,147,key,1.0,head,,,
183,456,database slurm_acct_db,413,slurm_acct_db,1.0,head,,,
184,457,local host,80,host,1.0,head,,,
185,458,storage host system,223,system,1.0,head,,,
186,459,other slurm daemon,79,daemon,1.0,head,,,
187,461,init.d/slurmdbd start,304,start,1.0,head,,,
188,463,grep slurmdbd,28,slurmdbd,1.0,head,,,
189,464,detailed information,8,information,1.0,head,,,
190,466,slurmdbd archive,480,archive,1.0,head,,,
191,468,reasonable size,289,size,1.0,head,,,
192,470,purged datum,60,datum,1.0,head,,,
193,475,unwieldy size,289,size,1.0,head,,,
194,476,purge interval,653,interval,1.0,head,,,
195,477,table size,289,size,1.0,head,,,
196,478,system utilization,335,utilization,1.0,head,,,
197,479,relevant configuration option,155,option,1.0,head,,,
198,481,purge option,155,option,1.0,head,,,
199,483,available configuration parameter,131,parameter,1.0,head,,,
200,489,active cluster,85,cluster,1.0,head,,,
201,491,archive server,82,server,1.0,head,,,
202,492,ongoing access,128,access,1.0,head,,,
203,494,archive instance,181,instance,1.0,head,,,
204,495,production database,7,database,1.0,head,,,
205,496,manageable size,289,size,1.0,head,,,
206,497,sure old record,109,record,1.0,head,,,
207,498,production server,82,server,1.0,head,,,
208,499,separate instance,181,instance,1.0,head,,,
209,502,archive slurmdbd,28,slurmdbd,1.0,head,,,
210,504,archived information,8,information,1.0,head,,,
211,509,purge process,683,process,1.0,head,,,
212,510,slight difference,2113,difference,1.0,head,,,
213,511,archive file,52,file,1.0,head,,,
214,515,slurmdbd daemon,79,daemon,1.0,head,,,
215,518,user association,214,association,1.0,head,,,
216,521,man page,277,page,1.0,head,,,
217,522,more information,8,information,1.0,head,,,
218,524,additional control,785,control,1.0,head,,,
219,525,party tool,513,tool,1.0,head,,,
220,528,relevant information,8,information,1.0,head,,,
221,534,exporter tool,513,tool,1.0,head,,,
222,535,performance metric,648,metric,1.0,head,,,
223,536,database configuration,73,configuration,1.0,head,,,
224,538,sacctmgr command,293,command,1.0,head,,,
225,539,accounting association,214,association,1.0,head,,,
226,543,execute line,427,line,1.0,head,,,
227,546,test cluster,85,cluster,1.0,head,,,
228,547,more cluster,85,cluster,1.0,head,,,
229,549,cluster option,155,option,1.0,head,,,
230,554,accounting report,18,report,1.0,head,,,
231,559,account science,565,science,1.0,head,,,
232,563,add account line,427,line,1.0,head,,,
233,566,account chemistry,556,chemistry,1.0,head,,,
234,567,physic parent,562,parent,1.0,head,,,
235,570,default account,215,account,1.0,head,,,
236,571,test execute,564,execute,1.0,head,,,
237,572,user brian account,215,account,1.0,head,,,
238,573,account test,542,test,1.0,head,,,
239,574,other account,215,account,1.0,head,,,
240,577,job submission command,293,command,1.0,head,,,
241,579,other association,214,association,1.0,head,,,
242,580,same account,215,account,1.0,head,,,
243,582,account option,155,option,1.0,head,,,
244,583,sacctmgr option,155,option,1.0,head,,,
245,584,description description,551,description,1.0,head,,,
246,586,different bank account,215,account,1.0,head,,,
247,587,different point,1954,point,1.0,head,,,
248,588,account hierarchy,560,hierarchy,1.0,head,,,
249,589,parent account,215,account,1.0,head,,,
250,590,user option,155,option,1.0,head,,,
251,591,accounting privilege,600,privilege,1.0,head,,,
252,592,database object,839,object,1.0,head,,,
253,593,other operator,171,operator,1.0,head,,,
254,599,same level,2142,level,1.0,head,,,
255,601,served slurmctld,64,slurmctld,1.0,head,,,
256,602,slurm user,66,user,1.0,head,,,
257,603,defaultaccount default account,215,account,1.0,head,,,
258,604,default wckey,345,wckey,1.0,head,,,
259,606,accounting database,7,database,1.0,head,,,
260,608,slurm partition,216,partition,1.0,head,,,
261,611,resource limit web page,277,page,1.0,head,,,
262,612,other option,155,option,1.0,head,,,
263,615,modifying entitie,624,entitie,1.0,head,,,
264,616,different option,155,option,1.0,head,,,
265,621,following form,482,form,1.0,head,,,
266,623,appropriate slurm daemon,79,daemon,1.0,head,,,
267,626,set option,155,option,1.0,head,,,
268,627,following execute line,427,line,1.0,head,,,
269,628,user record,109,record,1.0,head,,,
270,629,user brian,630,brian,1.0,head,,,
271,632,removed entity,517,entity,1.0,head,,,
272,633,typographical error,280,error,1.0,head,,,
273,635,usage datum,60,datum,1.0,head,,,
274,637,slurm accounting,117,accounting,1.0,head,,,
275,641,task level,2142,level,1.0,head,,,
276,642,user process,683,process,1.0,head,,,
277,645,parallel task,13,task,1.0,head,,,
278,647,jobacctgather plugin,23,plugin,1.0,head,,,
279,649,trackable resource,809,resource,1.0,head,,,
280,655,freq option,155,option,1.0,head,,,
281,656,command line,427,line,1.0,head,,,
282,661,tresusageintot field,287,field,1.0,head,,,
283,665,gathered metric,648,metric,1.0,head,,,
284,669,maximum memory peak,687,peak,1.0,head,,,
285,673,large memory peak,687,peak,1.0,head,,,
286,675,dedicated field maxrss,690,maxrss,1.0,head,,,
287,680,other job,3,job,1.0,head,,,
288,684,other tool,513,tool,1.0,head,,,
289,685,tresusage * field,287,field,1.0,head,,,
290,686,different meaning,882,meaning,1.0,head,,,
291,689,average memory peak,687,peak,1.0,head,,,
292,691,outli task,13,task,1.0,head,,,
293,694,single task process,683,process,1.0,head,,,
294,695,maximum memory,651,memory,1.0,head,,,
295,696,step memory peak,687,peak,1.0,head,,,
296,701,administrator overview,707,overview,1.0,head,,,
297,705,cluster operation,992,operation,1.0,head,,,
298,708,important lsf directory,399,directory,1.0,head,,,
299,709,configuration file,52,file,1.0,head,,,
300,716,lsf problem,247,problem,1.0,head,,,
301,725,cluster administrator,124,administrator,1.0,head,,,
302,726,file system,223,system,1.0,head,,,
303,728,important directory,399,directory,1.0,head,,,
304,746,mbatchd daemon,79,daemon,1.0,head,,,
305,747,sbatchd daemon,79,daemon,1.0,head,,,
306,748,chunk job queue,735,queue,1.0,head,,,
307,750,chunk job,3,job,1.0,head,,,
308,753,execution host,80,host,1.0,head,,,
309,754,re-runnable job,3,job,1.0,head,,,
310,756,kill signal,767,signal,1.0,head,,,
311,757,bkill command,293,command,1.0,head,,,
312,761,lsb.param file,52,file,1.0,head,,,
313,762,hung job,3,job,1.0,head,,,
314,765,running job,3,job,1.0,head,,,
315,768,job process,683,process,1.0,head,,,
316,774,individual computer,120,computer,1.0,head,,,
317,776,multiprocessor host,80,host,1.0,head,,,
318,777,parallel job,3,job,1.0,head,,,
319,778,single process queue,735,queue,1.0,head,,,
320,779,single machine,141,machine,1.0,head,,,
321,780,own process queue,735,queue,1.0,head,,,
322,783,bsub command,293,command,1.0,head,,,
323,786,complex problem,247,problem,1.0,head,,,
324,787,simulation scenario,2145,scenario,1.0,head,,,
325,788,extensive calculation,836,calculation,1.0,head,,,
326,790,job file,52,file,1.0,head,,,
327,793,bourne shell script,189,script,1.0,head,,,
328,794,execution time,39,time,1.0,head,,,
329,796,batch file,52,file,1.0,head,,,
330,797,interactive batch job,3,job,1.0,head,,,
331,798,batch job,3,job,1.0,head,,,
332,805,interactive job,3,job,1.0,head,,,
333,806,new job,3,job,1.0,head,,,
334,807,interactive task,13,task,1.0,head,,,
335,808,batch queue,735,queue,1.0,head,,,
336,810,good host,80,host,1.0,head,,,
337,811,candidate host,80,host,1.0,head,,,
338,812,single process,683,process,1.0,head,,,
339,817,local task,13,task,1.0,head,,,
340,819,ls command,293,command,1.0,head,,,
341,820,remote task,13,task,1.0,head,,,
342,821,host type,204,type,1.0,head,,,
343,822,host model,984,model,1.0,head,,,
344,826,operating system,223,system,1.0,head,,,
345,827,host cpu architecture,1766,architecture,1.0,head,,,
346,828,same operating system,223,system,1.0,head,,,
347,829,same computer architecture,1766,architecture,1.0,head,,,
348,830,same type,204,type,1.0,head,,,
349,831,different set,264,set,1.0,head,,,
350,842,schedule job,3,job,1.0,head,,,
351,843,individual host,80,host,1.0,head,,,
352,844,configured resource,809,resource,1.0,head,,,
353,845,resource availability,61,availability,1.0,head,,,
354,846,resource limit,126,limit,1.0,head,,,
355,847,load threshold,877,threshold,1.0,head,,,
356,848,fair share scheduling,736,scheduling,1.0,head,,,
357,850,total cpu time,39,time,1.0,head,,,
358,851,total resident memory usage,344,usage,1.0,head,,,
359,852,total virtual memory usage,344,usage,1.0,head,,,
360,853,active process group id,1493,id,1.0,head,,,
361,854,active process,683,process,1.0,head,,,
362,855,level resource usage,344,usage,1.0,head,,,
363,857,load index,1522,index,1.0,head,,,
364,858,non-shared resource,809,resource,1.0,head,,,
365,860,fixed time interval,653,interval,1.0,head,,,
366,861,external load,816,load,1.0,head,,,
367,868,static resource,809,resource,1.0,head,,,
368,869,host information,8,information,1.0,head,,,
369,871,startup time,39,time,1.0,head,,,
370,872,appropriate host,80,host,1.0,head,,,
371,874,binary architecture,1766,architecture,1.0,head,,,
372,876,load condition,791,condition,1.0,head,,,
373,878,suspended job,3,job,1.0,head,,,
374,879,loadstop load threshold,877,threshold,1.0,head,,,
375,880,load level,2142,level,1.0,head,,,
376,884,host load condition,791,condition,1.0,head,,,
377,886,runtime resource usage limit,126,limit,1.0,head,,,
378,887,specified amount,490,amount,1.0,head,,,
379,888,soft limit,126,limit,1.0,head,,,
380,889,queue level,2142,level,1.0,head,,,
381,890,hard limit,126,limit,1.0,head,,,
382,892,resource allocation limit,126,limit,1.0,head,,,
383,893,job scheduling,736,scheduling,1.0,head,,,
384,896,more job,3,job,1.0,head,,,
385,899,scheduling condition,791,condition,1.0,head,,,
386,901,scheduling threshold,877,threshold,1.0,head,,,
387,902,installation option,155,option,1.0,head,,,
388,903,lsfinstall -f install.config command,293,command,1.0,head,,,
389,904,install.config file,52,file,1.0,head,,,
390,906,lsf.cluster.cluster_name file,52,file,1.0,head,,,
391,911,clusteradmin section,1111,section,1.0,head,,,
392,912,host section,1111,section,1.0,head,,,
393,914,first host,80,host,1.0,head,,,
394,916,server column,308,column,1.0,head,,,
395,918,only host,80,host,1.0,head,,,
396,919,user datum,60,datum,1.0,head,,,
397,920,batch job run,363,run,1.0,head,,,
398,922,job run,363,run,1.0,head,,,
399,923,remote job access,128,access,1.0,head,,,
400,924,local datum,60,datum,1.0,head,,,
401,926,network file system,223,system,1.0,head,,,
402,930,automount command,293,command,1.0,head,,,
403,931,andrew file system,223,system,1.0,head,,,
404,935,parallel user job,3,job,1.0,head,,,
405,936,access afs,932,afs,1.0,head,,,
406,938,job output,234,output,1.0,head,,,
407,939,error file,52,file,1.0,head,,,
408,943,window server machine,141,machine,1.0,head,,,
409,944,non-shared directory,399,directory,1.0,head,,,
410,946,copy result file,52,file,1.0,head,,,
411,947,submission host,80,host,1.0,head,,,
412,948,fault tolerance,802,tolerance,1.0,head,,,
413,952,new installation,724,installation,1.0,head,,,
414,953,microsoft window,795,window,1.0,head,,,
415,957,new unix,792,unix,1.0,head,,,
416,958,linux installation,724,installation,1.0,head,,,
417,959,lsfinstall command,293,command,1.0,head,,,
418,961,new window installation,724,installation,1.0,head,,,
419,962,important lsf configuration file,52,file,1.0,head,,,
420,963,important file,52,file,1.0,head,,,
421,970,product installation,724,installation,1.0,head,,,
422,971,primary lsf administrator,124,administrator,1.0,head,,,
423,972,cluster user,66,user,1.0,head,,,
424,974,configuration directory,399,directory,1.0,head,,,
425,975,log directory,399,directory,1.0,head,,,
426,976,other global configuration,73,configuration,1.0,head,,,
427,977,lsf.conf file,52,file,1.0,head,,,
428,981,etc directory,399,directory,1.0,head,,,
429,987,own keyword,986,keyword,1.0,head,,,
430,988,workload queue,735,queue,1.0,head,,,
431,991,global configuration file,52,file,1.0,head,,,
432,993,cluster usr,236,usr,1.0,head,,,
433,997,keyword definition file,52,file,1.0,head,,,
434,1000,cluster configuration file,52,file,1.0,head,,,
435,1003,server host,80,host,1.0,head,,,
436,1005,scheduling load threshold,877,threshold,1.0,head,,,
437,1006,dispatch window,795,window,1.0,head,,,
438,1007,job slot limit,126,limit,1.0,head,,,
439,1008,configure account mapping,1544,mapping,1.0,head,,,
440,1022,batch event,674,event,1.0,head,,,
