doc_id,chunk_id,rowid_src,status,processed_at,error_msg
doc_7ceb,doc_7ceb_chunk_0045,71,done,2026-02-03T19:54:03,
doc_7ceb,doc_7ceb_chunk_0046,72,done,2026-02-03T19:54:12,
doc_7ceb,doc_7ceb_chunk_0047,73,done,2026-02-03T19:54:21,
doc_7ceb,doc_7ceb_chunk_0048,74,done,2026-02-03T19:54:21,
doc_7ceb,doc_7ceb_chunk_0049,75,done,2026-02-03T19:54:21,
doc_7ceb,doc_7ceb_chunk_0050,76,done,2026-02-03T19:54:21,
doc_7ceb,doc_7ceb_chunk_0051,77,done,2026-02-03T19:54:24,
doc_7ceb,doc_7ceb_chunk_0052,78,done,2026-02-03T19:54:29,
doc_7ceb,doc_7ceb_chunk_0053,79,done,2026-02-03T19:54:32,
doc_7ceb,doc_7ceb_chunk_0054,80,done,2026-02-03T19:54:39,
doc_7ceb,doc_7ceb_chunk_0055,81,done,2026-02-03T19:54:39,
doc_7ceb,doc_7ceb_chunk_0056,82,done,2026-02-03T19:54:39,
doc_7ceb,doc_7ceb_chunk_0057,83,done,2026-02-03T19:54:42,
doc_7ceb,doc_7ceb_chunk_0058,84,done,2026-02-03T19:54:49,
doc_7ceb,doc_7ceb_chunk_0059,85,done,2026-02-03T19:54:59,
doc_7ceb,doc_7ceb_chunk_0060,86,done,2026-02-03T19:55:06,
doc_7ceb,doc_7ceb_chunk_0061,87,done,2026-02-03T19:55:12,
doc_7ceb,doc_7ceb_chunk_0062,88,done,2026-02-03T19:55:12,
doc_7ceb,doc_7ceb_chunk_0063,89,done,2026-02-03T19:55:16,
doc_7ceb,doc_7ceb_chunk_0064,90,done,2026-02-03T19:55:16,
doc_7ceb,doc_7ceb_chunk_0065,91,done,2026-02-03T19:55:19,
doc_7ceb,doc_7ceb_chunk_0066,92,done,2026-02-03T19:55:23,
doc_7ceb,doc_7ceb_chunk_0067,93,done,2026-02-03T19:55:23,
doc_7ceb,doc_7ceb_chunk_0068,94,done,2026-02-03T19:55:23,
doc_7ceb,doc_7ceb_chunk_0069,95,done,2026-02-03T19:55:28,
doc_7ceb,doc_7ceb_chunk_0070,96,done,2026-02-03T19:55:28,
doc_84a2,doc_84a2_chunk_0001,97,done,2026-02-03T19:55:28,
doc_84a2,doc_84a2_chunk_0002,98,done,2026-02-03T19:55:28,
doc_84a2,doc_84a2_chunk_0003,99,done,2026-02-03T19:55:28,
doc_84a2,doc_84a2_chunk_0004,100,done,2026-02-03T19:55:28,
doc_d9be,doc_d9be_chunk_0001,101,done,2026-02-03T19:55:37,
doc_d9be,doc_d9be_chunk_0002,102,done,2026-02-03T19:55:47,
