lemma_id,doc_id,sent_idx,sentence,tokens_json,lemmas_json,lemmas_with_case_json,lemmatized_text,lemmatized_text_with_case,pos_tags_json,cleaned_version,created_at
11,doc_4387,11,"Supported values are jobacct_gather/linux, jobacct_gather/cgroup and jobacct_gather/none (no information collected).","[""Supported"", ""values"", ""jobacct_gather"", ""linux"", ""jobacct_gather"", ""cgroup"", ""jobacct_gather"", ""information"", ""collected""]","[""support"", ""value"", ""jobacct_gather"", ""linux"", ""jobacct_gather"", ""cgroup"", ""jobacct_gather"", ""information"", ""collect""]","[""Support"", ""value"", ""jobacct_gather"", ""linux"", ""jobacct_gather"", ""cgroup"", ""jobacct_gather"", ""information"", ""collect""]",support value jobacct_gather linux jobacct_gather cgroup jobacct_gather information collect,Support value jobacct_gather linux jobacct_gather cgroup jobacct_gather information collect,"[""VERB"", ""NOUN"", ""PROPN"", ""PROPN"", ""PROPN"", ""PROPN"", ""PROPN"", ""NOUN"", ""VERB""]",1,2026-02-03T19:05:04Z
12,doc_4387,12,JobCompType controls how job completion information is recorded.,"[""JobCompType"", ""controls"", ""job"", ""completion"", ""information"", ""recorded""]","[""jobcomptype"", ""control"", ""job"", ""completion"", ""information"", ""record""]","[""Jobcomptype"", ""control"", ""job"", ""completion"", ""information"", ""record""]",jobcomptype control job completion information record,Jobcomptype control job completion information record,"[""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""NOUN"", ""VERB""]",1,2026-02-03T19:05:04Z
13,doc_4387,13,"This can be used to record basic job information such as job name, user name, allocated nodes, start time, completion time, exit status, etc. If the preservation of only basic job information is required, this plugin should satisfy your needs with minimal overhead.","[""record"", ""basic"", ""job"", ""information"", ""job"", ""user"", ""allocated"", ""nodes"", ""start"", ""time"", ""completion"", ""time"", ""exit"", ""status"", ""etc"", ""preservation"", ""basic"", ""job"", ""information"", ""required"", ""plugin"", ""satisfy"", ""needs"", ""minimal"", ""overhead""]","[""record"", ""basic"", ""job"", ""information"", ""job"", ""user"", ""allocate"", ""node"", ""start"", ""time"", ""completion"", ""time"", ""exit"", ""status"", ""etc"", ""preservation"", ""basic"", ""job"", ""information"", ""require"", ""plugin"", ""satisfy"", ""need"", ""minimal"", ""overhead""]","[""record"", ""basic"", ""job"", ""information"", ""job"", ""user"", ""allocate"", ""node"", ""start"", ""time"", ""completion"", ""time"", ""exit"", ""status"", ""etc"", ""preservation"", ""basic"", ""job"", ""information"", ""require"", ""plugin"", ""satisfy"", ""need"", ""minimal"", ""overhead""]",record basic job information job user allocate node start time completion time exit status etc preservation basic job information require plugin satisfy need minimal overhead,record basic job information job user allocate node start time completion time exit status etc preservation basic job information require plugin satisfy need minimal overhead,"[""VERB"", ""ADJ"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""X"", ""NOUN"", ""ADJ"", ""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""VERB"", ""NOUN"", ""ADJ"", ""NOUN""]",1,2026-02-03T19:05:04Z
14,doc_4387,14,"You can store this information in a text file, or MySQL or MariaDB database.","[""store"", ""information"", ""text"", ""file"", ""MySQL"", ""MariaDB"", ""database""]","[""store"", ""information"", ""text"", ""file"", ""MySQL"", ""MariaDB"", ""database""]","[""store"", ""information"", ""text"", ""file"", ""Mysql"", ""Mariadb"", ""database""]",store information text file MySQL MariaDB database,store information text file Mysql Mariadb database,"[""VERB"", ""NOUN"", ""NOUN"", ""NOUN"", ""PROPN"", ""PROPN"", ""NOUN""]",1,2026-02-03T19:05:04Z
15,doc_4387,15,The use of sacct to view information about jobs is dependent upon AccountingStorageType being configured to collect and store that information.,"[""use"", ""sacct"", ""view"", ""information"", ""jobs"", ""dependent"", ""AccountingStorageType"", ""configured"", ""collect"", ""store"", ""information""]","[""use"", ""sacct"", ""view"", ""information"", ""job"", ""dependent"", ""accountingstoragetype"", ""configure"", ""collect"", ""store"", ""information""]","[""use"", ""sacct"", ""view"", ""information"", ""job"", ""dependent"", ""Accountingstoragetype"", ""configure"", ""collect"", ""store"", ""information""]",use sacct view information job dependent accountingstoragetype configure collect store information,use sacct view information job dependent Accountingstoragetype configure collect store information,"[""NOUN"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""ADJ"", ""NOUN"", ""VERB"", ""VERB"", ""VERB"", ""NOUN""]",1,2026-02-03T19:05:04Z
16,doc_4387,16,The use of sreport is dependent upon some database being used to store that information.,"[""use"", ""sreport"", ""dependent"", ""database"", ""store"", ""information""]","[""use"", ""sreport"", ""dependent"", ""database"", ""store"", ""information""]","[""use"", ""sreport"", ""dependent"", ""database"", ""store"", ""information""]",use sreport dependent database store information,use sreport dependent database store information,"[""NOUN"", ""NOUN"", ""ADJ"", ""NOUN"", ""VERB"", ""NOUN""]",1,2026-02-03T19:05:04Z
17,doc_4387,17,The use of sacct or sstat to view information about resource usage within jobs is dependent upon both JobAcctGatherType and AccountingStorageType being configured to collect and store that information.,"[""use"", ""sacct"", ""sstat"", ""view"", ""information"", ""resource"", ""usage"", ""jobs"", ""dependent"", ""JobAcctGatherType"", ""AccountingStorageType"", ""configured"", ""collect"", ""store"", ""information""]","[""use"", ""sacct"", ""sstat"", ""view"", ""information"", ""resource"", ""usage"", ""job"", ""dependent"", ""JobAcctGatherType"", ""AccountingStorageType"", ""configure"", ""collect"", ""store"", ""information""]","[""use"", ""sacct"", ""sstat"", ""view"", ""information"", ""resource"", ""usage"", ""job"", ""dependent"", ""Jobacctgathertype"", ""Accountingstoragetype"", ""configure"", ""collect"", ""store"", ""information""]",use sacct sstat view information resource usage job dependent JobAcctGatherType AccountingStorageType configure collect store information,use sacct sstat view information resource usage job dependent Jobacctgathertype Accountingstoragetype configure collect store information,"[""NOUN"", ""NOUN"", ""VERB"", ""VERB"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""ADJ"", ""PROPN"", ""PROPN"", ""VERB"", ""VERB"", ""VERB"", ""NOUN""]",1,2026-02-03T19:05:04Z
18,doc_4387,18,Storing the accounting information into text files is very simple.,"[""Storing"", ""accounting"", ""information"", ""text"", ""files"", ""simple""]","[""store"", ""accounting"", ""information"", ""text"", ""file"", ""simple""]","[""Store"", ""accounting"", ""information"", ""text"", ""file"", ""simple""]",store accounting information text file simple,Store accounting information text file simple,"[""VERB"", ""NOUN"", ""NOUN"", ""NOUN"", ""NOUN"", ""ADJ""]",1,2026-02-03T19:05:04Z
19,doc_4387,19,Just configure the appropriate plugin (e.g. JobCompType=jobcomp/filetxt) and then specify the pathname of the file (e.g. JobCompLoc=/var/log/slurm/job_completions).,"[""configure"", ""appropriate"", ""plugin"", ""e.g."", ""JobCompType"", ""="", ""jobcomp"", ""filetxt"", ""specify"", ""pathname"", ""file"", ""e.g."", ""JobCompLoc=/var"", ""log"", ""slurm"", ""job_completions""]","[""configure"", ""appropriate"", ""plugin"", ""e.g."", ""jobcomptype"", ""="", ""jobcomp"", ""filetxt"", ""specify"", ""pathname"", ""file"", ""e.g."", ""JobCompLoc=/var"", ""log"", ""slurm"", ""job_completions""]","[""configure"", ""appropriate"", ""plugin"", ""e.g."", ""Jobcomptype"", ""="", ""jobcomp"", ""filetxt"", ""specify"", ""pathname"", ""file"", ""e.g."", ""Jobcomploc=/var"", ""log"", ""slurm"", ""job_completions""]",configure appropriate plugin e.g. jobcomptype = jobcomp filetxt specify pathname file e.g. JobCompLoc=/var log slurm job_completions,configure appropriate plugin e.g. Jobcomptype = jobcomp filetxt specify pathname file e.g. Jobcomploc=/var log slurm job_completions,"[""VERB"", ""ADJ"", ""NOUN"", ""ADV"", ""NOUN"", ""SYM"", ""NOUN"", ""PROPN"", ""VERB"", ""NOUN"", ""NOUN"", ""ADV"", ""PROPN"", ""PROPN"", ""PROPN"", ""PROPN""]",1,2026-02-03T19:05:04Z
20,doc_4387,20,"Use the logrotate or similar tool to prevent the log files from getting too large. Send a SIGUSR2 signal to the slurmctld daemon after moving the files, but before compressing them so that new log files will be created.","[""Use"", ""logrotate"", ""similar"", ""tool"", ""prevent"", ""log"", ""files"", ""getting"", ""large"", ""Send"", ""SIGUSR2"", ""signal"", ""slurmctld"", ""daemon"", ""moving"", ""files"", ""compressing"", ""new"", ""log"", ""files"", ""created""]","[""use"", ""logrotate"", ""similar"", ""tool"", ""prevent"", ""log"", ""file"", ""get"", ""large"", ""send"", ""SIGUSR2"", ""signal"", ""slurmctld"", ""daemon"", ""move"", ""file"", ""compress"", ""new"", ""log"", ""file"", ""create""]","[""Use"", ""logrotate"", ""similar"", ""tool"", ""prevent"", ""log"", ""file"", ""get"", ""large"", ""Send"", ""SIGUSR2"", ""signal"", ""slurmctld"", ""daemon"", ""move"", ""file"", ""compress"", ""new"", ""log"", ""file"", ""create""]",use logrotate similar tool prevent log file get large send SIGUSR2 signal slurmctld daemon move file compress new log file create,Use logrotate similar tool prevent log file get large Send SIGUSR2 signal slurmctld daemon move file compress new log file create,"[""VERB"", ""ADJ"", ""ADJ"", ""NOUN"", ""VERB"", ""NOUN"", ""NOUN"", ""VERB"", ""ADJ"", ""VERB"", ""PROPN"", ""NOUN"", ""ADJ"", ""NOUN"", ""VERB"", ""NOUN"", ""VERB"", ""ADJ"", ""NOUN"", ""NOUN"", ""VERB""]",1,2026-02-03T19:05:04Z
