term_id,doc_id,sent_idx,token_start,token_end,cleaned_version
109,doc_00ec,49,12,12,1
102,doc_00ec,49,15,15,1
110,doc_00ec,49,17,19,1
111,doc_00ec,49,24,24,1
112,doc_00ec,49,31,31,1
113,doc_0177,2,0,1,1
27,doc_0177,2,4,4,1
114,doc_0177,2,14,14,1
115,doc_0177,2,17,19,1
116,doc_0177,3,0,2,1
117,doc_0177,3,4,5,1
85,doc_0177,3,7,8,1
118,doc_0177,4,0,0,1
119,doc_0177,4,2,2,1
120,doc_0177,4,4,6,1
11,doc_0177,4,8,8,1
121,doc_0177,5,9,10,1
113,doc_0177,7,0,1,1
119,doc_0177,7,4,5,1
81,doc_0177,7,7,7,1
122,doc_0177,8,3,5,1
123,doc_0177,8,7,9,1
124,doc_0177,9,0,2,1
125,doc_0177,9,14,14,1
126,doc_0177,10,0,1,1
91,doc_0177,10,5,5,1
127,doc_0177,10,7,7,1
128,doc_0177,10,9,9,1
129,doc_0177,10,11,11,1
130,doc_0177,10,13,14,1
131,doc_0177,11,0,3,1
118,doc_0177,11,6,6,1
132,doc_0177,11,8,10,1
133,doc_0177,11,12,14,1
134,doc_0177,12,0,0,1
135,doc_0177,12,3,3,1
136,doc_0177,12,5,6,1
137,doc_0177,12,9,11,1
138,doc_0177,13,0,0,1
118,doc_0177,13,3,4,1
139,doc_0177,13,6,7,1
127,doc_0177,13,9,9,1
121,doc_0177,13,12,13,1
140,doc_0177,13,15,16,1
141,doc_0177,13,18,20,1
128,doc_0177,14,0,0,1
142,doc_0177,14,2,3,1
143,doc_0177,15,0,2,1
144,doc_0177,16,6,6,1
145,doc_0177,17,15,16,1
146,doc_0177,17,18,19,1
88,doc_0177,17,21,21,1
147,doc_0177,17,24,25,1
147,doc_0177,18,14,15,1
148,doc_0177,19,6,7,1
33,doc_0177,19,9,10,1
14,doc_0177,20,12,14,1
2,doc_0177,20,16,16,1
15,doc_0177,20,18,18,1
16,doc_0177,20,21,22,1
149,doc_0177,21,6,6,1
28,doc_0177,21,8,10,1
145,doc_0177,22,16,17,1
146,doc_0177,22,19,20,1
88,doc_0177,22,22,22,1
147,doc_0177,22,25,26,1
147,doc_0177,23,7,8,1
150,doc_0177,23,17,19,1
151,doc_0177,23,22,22,1
152,doc_0177,23,25,25,1
153,doc_0177,24,0,2,1
152,doc_0177,25,7,7,1
154,doc_0177,26,0,1,1
155,doc_0177,26,11,12,1
152,doc_0177,26,16,16,1
156,doc_0177,27,0,2,1
157,doc_0177,27,12,14,1
158,doc_0177,27,16,16,1
152,doc_0177,27,18,18,1
159,doc_0177,28,0,2,1
160,doc_0177,28,12,12,1
161,doc_0177,28,14,14,1
152,doc_0177,28,16,16,1
162,doc_0177,29,0,1,1
163,doc_0177,29,3,4,1
164,doc_0177,29,6,8,1
146,doc_0177,30,0,1,1
165,doc_0177,30,3,5,1
166,doc_0177,30,8,8,1
88,doc_0177,31,1,1,1
167,doc_0177,31,3,5,1
147,doc_0177,32,7,8,1
33,doc_0177,33,0,1,1
146,doc_0177,33,13,14,1
147,doc_0177,34,0,1,1
168,doc_0177,34,9,10,1
27,doc_0177,34,12,12,1
169,doc_0177,34,14,14,1
41,doc_0177,34,16,17,1
170,doc_0177,34,19,19,1
33,doc_0177,34,21,22,1
170,doc_0177,35,1,1,1
146,doc_0177,38,2,3,1
171,doc_0177,39,5,6,1
168,doc_0177,40,7,8,1
172,doc_0177,40,11,11,1
173,doc_0177,41,1,2,1
174,doc_0177,42,2,3,1
173,doc_0177,42,5,6,1
175,doc_0177,42,8,8,1
27,doc_0177,43,2,2,1
39,doc_0177,43,4,4,1
176,doc_0177,43,6,6,1
27,doc_0177,45,7,7,1
165,doc_0177,45,9,11,1
177,doc_0177,45,14,14,1
17,doc_0177,45,16,16,1
88,doc_0177,45,18,18,1
147,doc_0177,45,20,21,1
175,doc_0177,46,0,0,1
17,doc_0177,47,0,0,1
178,doc_0177,47,2,4,1
179,doc_0177,47,8,10,1
180,doc_0177,48,6,7,1
181,doc_0177,48,9,10,1
182,doc_0177,48,14,15,1
183,doc_0177,49,0,0,1
184,doc_0177,49,2,2,1
185,doc_0177,49,11,11,1
186,doc_0177,49,20,22,1
187,doc_0177,49,24,25,1
188,doc_0177,49,39,39,1
189,doc_0177,50,1,1,1
33,doc_0177,51,7,8,1
150,doc_0177,52,0,2,1
18,doc_0177,53,0,1,1
190,doc_0177,53,8,8,1
27,doc_0177,53,11,11,1
169,doc_0177,53,13,13,1
47,doc_0177,54,0,0,1
191,doc_0177,54,2,3,1
189,doc_0177,55,0,0,1
192,doc_0177,55,2,3,1
33,doc_0177,55,5,6,1
18,doc_0177,55,8,9,1
88,doc_0177,55,11,11,1
39,doc_0177,55,13,13,1
192,doc_0177,56,10,11,1
88,doc_0177,56,14,14,1
193,doc_0177,56,16,17,1
194,doc_0177,58,8,8,1
195,doc_0177,58,10,11,1
150,doc_0177,59,0,2,1
47,doc_0177,59,4,4,1
33,doc_0177,60,0,1,1
150,doc_0177,60,4,6,1
135,doc_0177,60,8,8,1
184,doc_0177,61,0,0,1
196,doc_0177,62,0,1,1
17,doc_0177,62,3,3,1
197,doc_0177,62,5,6,1
198,doc_0177,63,1,2,1
199,doc_0177,64,1,1,1
194,doc_0177,65,8,8,1
200,doc_0177,65,10,11,1
201,doc_0177,65,29,31,1
202,doc_0177,65,34,34,1
203,doc_0177,65,35,35,1
204,doc_0177,65,37,37,1
205,doc_0177,65,38,40,1
28,doc_0177,65,42,44,1
206,doc_0177,66,13,14,1
207,doc_0177,66,16,17,1
208,doc_0177,66,25,26,1
209,doc_0177,68,1,3,1
210,doc_0177,68,5,5,1
211,doc_0177,68,7,7,1
212,doc_0177,68,10,12,1
213,doc_0177,69,0,2,1
47,doc_0177,69,4,4,1
214,doc_0177,70,1,2,1
215,doc_0177,70,4,4,1
216,doc_0177,70,6,7,1
209,doc_0177,71,2,4,1
217,doc_0177,71,6,7,1
218,doc_0177,72,2,3,1
219,doc_0177,72,5,7,1
220,doc_0177,73,1,2,1
221,doc_0177,73,12,12,1
222,doc_0177,74,0,1,1
223,doc_0177,75,1,1,1
11,doc_0177,75,8,8,1
224,doc_0177,75,11,12,1
225,doc_0177,76,0,0,1
202,doc_0177,76,2,2,1
226,doc_0177,77,0,0,1
202,doc_0177,77,2,2,1
227,doc_0177,77,4,5,1
228,doc_0177,77,7,7,1
33,doc_0177,78,2,3,1
229,doc_0177,78,6,8,1
230,doc_0177,79,3,3,1
231,doc_0177,79,5,5,1
146,doc_0177,80,5,6,1
232,doc_0177,81,2,4,1
233,doc_0177,82,0,0,1
27,doc_0177,82,2,2,1
47,doc_0177,82,5,5,1
27,doc_0177,83,2,2,1
47,doc_0177,83,5,5,1
234,doc_0177,84,0,0,1
27,doc_0177,84,2,2,1
235,doc_0177,84,4,6,1
27,doc_0177,85,2,2,1
236,doc_0177,85,5,6,1
237,doc_0177,86,6,6,1
238,doc_0177,86,8,9,1
239,doc_0177,87,0,0,1
39,doc_0177,87,2,2,1
240,doc_0177,88,0,1,1
241,doc_0177,88,8,9,1
239,doc_0177,88,11,11,1
47,doc_0177,90,0,0,1
242,doc_0177,91,0,0,1
243,doc_0177,91,3,5,1
202,doc_0177,92,2,2,1
203,doc_0177,92,3,3,1
244,doc_0177,93,8,10,1
245,doc_0177,93,14,14,1
246,doc_0177,94,3,3,1
144,doc_01ac,1,0,0,1
141,doc_01ac,1,3,5,1
247,doc_01ac,1,7,7,1
248,doc_01ac,1,9,9,1
141,doc_01ac,2,0,2,1
249,doc_01ac,2,4,6,1
250,doc_01ac,2,9,10,1
247,doc_01ac,2,13,14,1
251,doc_01ac,4,6,8,1
141,doc_01ac,5,0,2,1
249,doc_01ac,5,4,6,1
248,doc_01ac,5,10,10,1
252,doc_01ac,5,12,14,1
253,doc_01ac,5,16,16,1
254,doc_01ac,6,7,8,1
196,doc_01ac,8,9,10,1
255,doc_01ac,8,17,18,1
256,doc_01ac,8,35,36,1
170,doc_01ac,8,43,43,1
251,doc_01ac,10,6,8,1
141,doc_01ac,11,0,2,1
249,doc_01ac,11,4,6,1
248,doc_01ac,11,10,10,1
252,doc_01ac,11,12,14,1
257,doc_01ac,12,0,1,1
258,doc_01ac,14,8,10,1
259,doc_01ac,14,20,21,1
260,doc_01ac,15,0,1,1
261,doc_01ac,16,0,1,1
262,doc_01ac,17,0,1,1
263,doc_01ac,17,4,5,1
17,doc_01ac,17,7,7,1
248,doc_01ac,17,9,9,1
88,doc_01ac,17,11,11,1
264,doc_01ac,17,14,16,1
265,doc_01ac,18,16,16,1
141,doc_01ac,19,0,2,1
266,doc_01ac,19,5,7,1
267,doc_01ac,20,0,1,1
141,doc_01ac,21,0,2,1
146,doc_01ac,21,5,6,1
268,doc_01ac,21,8,9,1
135,doc_01ac,22,0,0,1
269,doc_01ac,22,2,3,1
270,doc_01ac,22,5,7,1
267,doc_01ac,23,0,1,1
141,doc_01ac,24,0,2,1
271,doc_01ac,27,9,9,1
215,doc_01ac,27,12,12,1
255,doc_01ac,29,5,6,1
271,doc_01ac,29,10,10,1
272,doc_01ac,30,16,18,1
141,doc_01ac,30,29,31,1
141,doc_01ac,31,5,7,1
273,doc_01ac,31,40,41,1
274,doc_01ac,31,45,46,1
275,doc_01ac,31,48,49,1
152,doc_01ac,33,0,0,1
276,doc_01ac,33,2,3,1
277,doc_01ac,34,8,8,1
278,doc_01ac,35,0,2,1
279,doc_01ac,35,4,6,1
152,doc_01ac,36,0,0,1
280,doc_01ac,37,0,2,1
281,doc_01ac,37,4,6,1
282,doc_01ac,37,15,16,1
283,doc_01ac,37,18,19,1
284,doc_01ac,37,21,23,1
285,doc_01ac,37,25,25,1
286,doc_01ac,37,27,28,1
248,doc_01ac,37,30,30,1
287,doc_01ac,38,0,2,1
141,doc_01ac,38,4,6,1
288,doc_01ac,38,8,9,1
289,doc_01ac,38,12,14,1
290,doc_01ac,38,16,18,1
281,doc_01ac,38,20,22,1
291,doc_01ac,38,24,26,1
292,doc_01ac,38,28,28,1
293,doc_01ac,39,5,7,1
152,doc_01ac,40,1,1,1
294,doc_01ac,41,0,2,1
141,doc_01ac,41,4,6,1
295,doc_01ac,41,9,11,1
288,doc_01ac,41,14,15,1
288,doc_01ac,42,5,6,1
296,doc_01ac,42,8,10,1
297,doc_01ac,43,0,1,1
268,doc_01ac,43,3,4,1
298,doc_01ac,43,6,7,1
299,doc_01ac,43,15,17,1
300,doc_01ac,43,19,20,1
301,doc_01ac,46,0,2,1
302,doc_01ac,46,4,4,1
248,doc_01ac,48,1,1,1
261,doc_01ac,49,0,1,1
17,doc_01ac,49,3,3,1
303,doc_01ac,50,0,1,1
304,doc_01ac,51,0,2,1
305,doc_01ac,52,5,7,1
306,doc_01ac,52,9,11,1
307,doc_01ac,53,0,0,1
308,doc_01ac,53,2,3,1
99,doc_01ac,54,3,4,1
126,doc_01ac,55,0,0,1
309,doc_01ac,55,2,4,1
310,doc_01ac,55,6,6,1
311,doc_01ac,55,8,10,1
312,doc_01ac,55,12,14,1
313,doc_01ac,55,16,18,1
314,doc_01ac,55,20,21,1
315,doc_01ac,56,0,0,1
175,doc_01ac,56,2,2,1
316,doc_01ac,56,4,5,1
317,doc_01ac,56,9,11,1
152,doc_01ac,56,13,13,1
318,doc_01ac,56,15,17,1
319,doc_01ac,56,19,20,1
248,doc_01ac,57,0,0,1
152,doc_01ac,57,3,3,1
320,doc_01ac,57,11,13,1
321,doc_01ac,57,15,17,1
322,doc_01ac,58,0,0,1
226,doc_01ac,58,2,2,1
17,doc_01ac,58,4,4,1
141,doc_01ac,59,0,2,1
146,doc_01ac,59,5,6,1
268,doc_01ac,59,8,9,1
135,doc_01ac,60,0,0,1
269,doc_01ac,60,2,3,1
270,doc_01ac,60,5,7,1
135,doc_01ac,61,7,7,1
152,doc_01ac,62,0,0,1
135,doc_01ac,62,3,3,1
268,doc_01ac,62,5,6,1
323,doc_01ac,62,8,10,1
125,doc_01ac,62,17,17,1
324,doc_01ac,63,0,2,1
325,doc_01ac,63,28,28,1
248,doc_01ac,63,30,30,1
326,doc_01ac,63,32,33,1
170,doc_01ac,63,35,35,1
327,doc_01ac,65,1,1,1
325,doc_01ac,65,4,4,1
248,doc_01ac,65,6,6,1
328,doc_01ac,65,8,10,1
324,doc_01ac,66,0,2,1
329,doc_01ac,66,23,25,1
325,doc_01ac,66,28,28,1
248,doc_01ac,66,30,30,1
328,doc_01ac,66,32,34,1
175,doc_01ac,67,0,0,1
